input,output,appropriateness_score,self_contained_score,faithfulness_score,relevance_score,completeness_score,helpfulness_score,evaluation_justification
"To close your fixed deposit, you can close your OneCard. Your fixed deposit amount will be refunded to the bank account you submitted while creating the fixed deposit within 7-10 days of closure. Just be aware that early card closure charges will be applied if the card is closed within 6 months, and a penalty of 1% will be levied on the interest earned for closing the fixed deposit before the tenure period.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
The card will be temporarily blocked for security purposes until it safely reaches you.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Transactions may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Also, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"You can close your fixed deposit by closing your OneCard. Once your OneCard is closed and the outstanding balance is cleared, your fixed deposit amount will be refunded to the bank account you provided.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To convert your bill to EMI, you can check your eligibility for the EMI on bill feature offered by One Credit Card by visiting the EMI Dashboard. Make sure your outstanding amount is at least Rs. 2500, a bill has been generated, and there are no existing balance EMIs.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your One Credit Card's limit is based on your credit score, financial history, and internal policies. Once you qualify for an increase, you will be notified via SMS or email, and you can find the option to increase your limit in the profile section. Keep using your OneCard responsibly and making timely repayments to increase your chances of getting a credit limit increase.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
‚ùå This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The EMI feature is available on this card for eligible customers, subject to internal policies and conditions like the outstanding amount being at least Rs. 2500, a bill needing to be generated, and no existing balance EMI. To check your eligibility, visit the EMI Dashboard.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
‚ùå This query is flagged as unsafe or manipulative.,TRUE,0,0,1,1,1,1,"No meaningful content was provided for evaluation, so the overview cannot be assessed."
"Paying the monthly bill is the responsibility of the primary cardholder, making it easier for you and your family to enjoy the benefits without worrying about multiple payments.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Credit limit refers to the maximum amount of credit available to you, which you can use for purchases or other transactions. Your access to the credit limit remains the same whether you share it with family members or not.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your transactions may have been declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your bill payment may have been declined to safeguard your account, especially if it was considered a risky transaction. To ensure successful bill payments, you can try making the payment in smaller amounts or through a different method. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option below. The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,1,1,1,1,1,1,"The provided text offers no meaningful answer or guidance, making it minimally faithful, relevant, complete, and helpful for the query."
"Your metal card may have been declined if your total fixed deposit amount was less than ‚Çπ50,000. To get a metal card, the total fixed deposit amount needs to be more than ‚Çπ50,000.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If your card has been returned, you can reinitiate the delivery by clicking the option provided. The card will be temporarily blocked for security purposes until it safely reaches you.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If the account exceeds the credit limit due to charges or interest, an over-limit fee will be charged.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there may be a charge for bill payment if it is done through third-party apps like CRED, PhonePe, PayTM, and others. It is advised to pay bills directly through the OneCard app for instant credit.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Based on the information provided, you cannot increase your fees for third-party wallets or bank account transfers with One Credit Card. The fee is set at 1% plus GST if the total amount of transfers exceeds Rs 10,000 in a calendar month.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To apply for international transactions on your One Credit Card, you need to enable your International Card Controls. You can do this by navigating to the 'My Card' screen from the second tab at the bottom of the home screen, scrolling down to 'My Controls', clicking on 'View All Controls', and then navigating to the 'International' tab to activate international transactions.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,0,0,1,1,1,1,"The overview (FALSE) provides no relevant or accurate information, offers no completeness or usefulness, and does not align with the provided context."
"Your One Credit Card's limit is based on your credit score, financial history, and our internal policies. Once you qualify for an increase, you will be notified via SMS or email, and you can find the option to increase your limit in the profile section. Keep using your OneCard responsibly and making timely repayments to increase your chances of getting a credit limit increase.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
The context provided does not directly address whether the card upgrade feature is available on the OneCard. I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"EMI(s) are part of the Minimum Amount Due (MAD) on your statement, which must be paid by the Due Date. It is important to pay the Total Amount Due (TAD) whenever possible to have a smoother financial journey.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
The value back reward points will be credited to your account within 10 days after the purchase.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To apply for rewards under OnePass, you need to perform specific actions that are linked to rewards. You can view the list of eligible actions within the OnePass details before activation. Only these actions will earn you rewards.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"With a No Cost EMI offer, there should not be any additional charges as the interest is covered by the merchant through an instant discount or cashback.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Declines can happen to protect your account, especially with certain merchants or high-value transactions. To avoid declines, try making smaller transactions or using different merchants. Also, check your app settings to ensure your payment methods are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
The interest rate mentioned in the context is a modest 3.75% monthly interest that will apply if there is an unpaid remaining amount due after the bill due date.,FALSE,1,1,1,1,1,1,"The overview simply states 'FALSE' and does not reflect the provided details about the 3.75% monthly interest. It is not faithful, relevant, or complete in addressing the user’s query, and hence is unhelpful as a summary."
"Paying the monthly bill is the responsibility of the primary cardholder, making it easier for you and your family to enjoy the benefits without worrying about multiple payments. If you are the primary cardholder, you can increase your bill payment by adjusting the amount you pay each month.",FALSE,1,1,1,1,1,1,"The overview 'FALSE' does not reflect the original FAQ answer and adds no relevant or correct details. It is not faithful, relevant, or helpful for the user's query."
The international transactions on your One Credit Card are by default disabled for security reasons. It is recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants.,FALSE,1,1,1,1,1,1,The generated overview simply states 'FALSE' and fails to address or summarize any of the relevant information from the FAQ answer.
"Yes, you can increase your international transactions by navigating to the 'My Card' screen, scrolling down to 'My Controls,' clicking on 'View All Controls,' and then going to the 'International' tab to activate different types of transactions. Additionally, you can set transaction limits for each type of transaction from the 'Advanced Controls' section on the same screen.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
‚ùå This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Discover a world of exciting offers just for you on the Offers page! Get ready for amazing offer descriptions, redemption URLs/codes, and all the key terms and conditions!",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
You will get an interest rate of 3.75% monthly if there is an unpaid remaining amount due after the bill due date.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, you can increase your EMI in order to pay off your loan faster or reduce the overall interest paid. However, it's important to check with your lender to understand the process and any potential fees associated with increasing your EMI.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your credit card security may have been declined when trying to make a purchase online to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The app issues on your card could be related to the card status not being active in the card controls section of your app. You may also need to manage settings for domestic or international payments, contactless payments, and online payments from there. Sometimes, transactions may fail if they are declined to protect you from suspicious activities.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Your international transaction may have been declined to safeguard your account, especially with high-risk transactions. To avoid this, you can try transacting in smaller amounts or with different merchants. Additionally, check your 'My Controls' section in the app to verify if International Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
You can check the status of your successful club or association membership fee payment after 3 to 4 days from the date of payment for a confirmation.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a charge for international transactions using OneCard. The charges include a 1% forex fee + 18% GST on every international transaction.",FALSE,1,1,1,1,1,1,"The generated overview is simply 'FALSE,' which contradicts the actual FAQ content about international charges (1% forex fee + 18% GST). It is not faithful, lacks relevance, is incomplete, and is unhelpful."
"To check your interest rate, you can refer to the information provided in the context. If you pay the total due amount before or on the due date, you won't incur any interest charges. However, if there is an unpaid remaining amount due after the bill due date, a modest 3.75% monthly interest will apply.",FALSE,1,1,1,1,1,1,"The overview only states 'FALSE' and does not reflect the FAQ answer about interest charges. It is irrelevant, incomplete, and unhelpful, providing none of the necessary details or context."
"The metal card is obtained by making a total fixed deposit amount more than ‚Çπ50,000.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Not yet, but the card is gearing up for an exciting addition of an airport lounge access feature that will be launched soon. Stay tuned for updates!",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes! You can increase your rewards by redeeming the reward points earned by the add-on family member, adding more value and benefits to your One Credit Card experience. Enjoy the perks together!",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"No, the context does not provide information on how to increase a metal card once you have obtained it.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Transactions may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Also, make sure to check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If the total amount of transfers to bank accounts or third-party wallets in a calendar month exceeds Rs 10,000, One Credit Card charges a transfer fee of 1% plus GST for that month.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,1,1,1,1,1,1,"No AI-generated help overview was provided to evaluate. Therefore, scores are minimal."
Your purchase will be converted to EMI within 8 working days.,FALSE,1,1,1,1,1,1,"The overview ('FALSE') contradicts the FAQ answer about EMI conversion within 8 working days, offering no relevant details, thus scoring poorly on faithfulness, relevance, completeness, and helpfulness."
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
Your One Credit Card is an international credit card accepted by over 44 million merchants in 200+ countries. International transactions are by default disabled for your One Credit Card due to security reasons. It's recommended to enable your International Card Controls before making planned international trips or online transactions with international merchants.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Transactions may occasionally be declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"You may receive your bill payment within 3-5 working days when using third-party apps like CRED, PhonePe, PayTM, and others. It is recommended to consider this delay when making payments.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To get a metal card, you need to make your total fixed deposit amount more than ‚Çπ50,000.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If the over-limit control is disabled on your OneCard, transactions above the available credit limit will be declined.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, the bill payment feature is available on the OneCard. You can easily pay your bill by following the steps provided in the response.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Based on the information provided, you cannot increase your interest rate. The interest rate is set at a modest 3.75% monthly if there is an unpaid remaining amount due after the bill due date.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Based on the information provided, there is no specific mention of a charge for declines in rent payment transactions. It is recommended to stay informed about the reasons for declined transactions to avoid any potential charges.",FALSE,1,1,1,1,1,1,"The AI-generated overview simply states 'FALSE' and does not match or summarize the provided information about rent payment declines. It neither reflects the original answer's content nor provides helpful guidance, making it unfaithful, incomplete, irrelevant, and unhelpful."
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"As of now, there will not be any extra fees or charges for Mobile Prepaid Recharges. This information does not directly address whether there is a charge for app issues.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Based on the information provided, you do not need to apply for an interest rate. If you pay the total due amount before or on the due date, you won't incur any interest charges. However, if there is an unpaid remaining amount due after the bill due date, a 3.75% monthly interest will apply automatically.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, there is a charge for transactions involving transfers to bank accounts or third-party wallets with One Credit Card. If the total amount of transfers in a calendar month exceeds Rs 10,000, a transfer fee of 1% plus GST is charged for that month.",FALSE,1,1,1,1,1,1,"The generated answer ('FALSE') contradicts the FAQ information regarding transfer fees, providing no relevant or correct details. It is therefore unfaithful, irrelevant, incomplete, and unhelpful, but it is self-contained and does not rely on extra context."
I cannot find that information in the provided context.,FALSE,0,0,1,1,1,1,No help overview was provided for evaluation.
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, you can increase your credit limit on your OneCard by continuing to use it responsibly and making timely repayments. Once you qualify for an increase, you will be notified via SMS or email, and you can find the option to increase your limit in the profile section. Keep up your excellent financial habits!",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The context does not directly answer whether the rewards feature is available on this card. It mentions that there are multiple offers listed in the offer tab of the Rewards section, indicating that there are rewards available, but it does not specify if a rewards feature is available on the card itself.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"The offers on your card include discounts on dining, shopping, and lifestyle experiences at stores near you. Additionally, value back reward points will be credited to your account within 10 days after the purchase.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
‚ùå This query is flagged as unsafe or manipulative.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
There is no mention of a charge for rewards in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I'm not sure based on the knowledge base.,TRUE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,1,0,1,1,1,1,"The overview is effectively empty (just 'FALSE'), so it does not provide any information, rendering it not faithful, relevant, complete, or helpful."
I cannot find that information in the provided context.,FALSE,1,1,1,1,1,1,"The overview 'FALSE' provides no specific information related to the FAQ, is not relevant to the query, and does not help answer the user’s request."
"Your transactions may have been declined to safeguard your account, especially with risky merchants or high-value transfers. To maintain a healthy spending pattern, you can try transacting in smaller amounts or with different merchants. Also, check your 'My Controls' section in the app to verify if Online, POS, or Contactless Payments are enabled.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"Yes, the card delivery feature is available on this card. If your card has been returned, you can reinitiate the delivery by following the instructions provided.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
I cannot find that information in the provided context.,FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"To check your international transactions, you can navigate to the 'My Card' screen from the second tab at the bottom of the home screen. Scroll down to 'My Controls' and click on 'View All Controls'. From there, navigate to the 'International' tab to activate/deactivate different types of transactions. You can also set transaction limits for each type of transaction from the 'Advanced Controls' section.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
"If you encounter issues with your mobile application, you can reach out to us via the chat option available in the app's help section for assistance.",FALSE,,,,,,,"Error: HTTPSConnectionPool(host='onegpt.fplinternal.in', port=443): Read timed out. (read timeout=60)"
